 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,311.00","-0.79%","1,319.00","1,80,758","66,061.75","21.86","12.18","1,640.00","1,188.00","2.49%","0.52%","-11.60%","185.00%","293.04%","3.54","1.44%","15.05%","14.83%","47.61","1,310.83","1,358.86","48.33","73.97%","86.82%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","1,379.70","-1.03%","1,386.00","2,67,255","65,961.89","61.78","20.71","1,506.50","919.10","-4.18%","10.58%","13.35%","60.18%","121.98%","7.12","0.61%","12.70%","16.45%","22.02","1,426.37","1,263.97","37.98","76.00%","87.50%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","358.75","-0.06%","354.05","69,43,777","65,889.17","10.78","89.67","374.30","137.75","28.82%","58.72%","70.39%","327.34%","687.60%","3.32","2.93%","10.93%","36.82%","10.50","292.00","217.04","66.53","71.97%","83.85%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,129.50","-1.07%","1,133.90","4,37,181","65,601.54","19.36","17.88","1,278.60","1,010.00","-7.80%","2.74%","-6.04%","153.99%","21.45%","1.89","-","10.62%","15.74%","61.22","1,200.60","1,144.99","35.55","76.00%","87.50%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,125.40","0.45%","1,118.00","3,38,079","64,951.70","55.00","173.46","1,382.00","767.60","-11.23%","-8.47%","8.36%","120.36%","409.23%","10.38","0.20%","17.56%","19.22%","15.45","1,271.08","1,147.73","24.34","70.00%","70.00%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","847.85","-1.00%","850.25","15,38,538","64,009.13","62.33","-66.76","1,104.30","577.00","-4.83%","-22.43%","29.74%","198.22%","407.09%","6.86","0.12%","7.54%","9.86%","8.50","906.89","858.04","36.09","75.00%","87.50%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","10,482.00","-1.87%","10,682.00","5,00,889","63,610.80","38.00","10.11","18,471.00","10,591.00","-21.00%","-34.79%","-40.31%","198.12%","246.94%","15.96","0.07%","19.86%","41.33%","72.30","13,330.32","15,326.18","26.23","70.00%","84.89%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","46.07","-0.58%","46.30","4,38,45,624","63,172.48","19.89","1.88","74.30","46.15","-12.40%","-13.22%","-20.69%","360.70%","666.56%","8.04","-","262.69%","24.15%","0.68","53.16","58.36","24.33","50.00%","84.39%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","1,750.40","-1.82%","1,760.00","5,13,877","62,592.77","45.31","-2.17","1,993.00","1,402.50","-4.42%","5.68%","8.83%","150.94%","348.61%","5.90","0.14%","13.29%","10.43%","61.08","1,794.73","1,628.54","37.09","73.22%","86.72%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,423.10","-0.11%","1,424.60","7,70,656","61,297.22","72.63","-2.17","1,814.00","1,048.05","-12.38%","-17.14%","-2.76%","221.46%","389.88%","3.87","0.13%","10.40%","8.96%","33.42","1,633.74","1,573.35","28.12","72.15%","85.27%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","146.22","0.56%","145.00","1,04,40,724","60,396.54","23.49","23.12","153.12","99.15","16.13%","12.62%","33.08%","59.80%","119.06%","1.03","1.10%","3.98%","6.70%","9.38","138.42","129.78","53.70","73.43%","85.59%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","2,324.00","-2.06%","2,380.00","21,21,910","59,260.10","86.97","35.87","2,499.00","881.63","12.74%","26.37%","92.80%","638.25%","594.50%","29.01","0.25%","10.07%","24.11%","34.19","2,098.84","1,667.10","64.10","72.84%","75.00%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","700.35","-3.19%","715.30","52,25,235","59,061.83","25.77","22.12","812.20","531.60","-6.81%","2.87%","26.68%","-1.04%","26.68%","1.91","0.78%","-5.74%","7.50%","-","764.70","697.48","32.69","76.00%","87.50%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,113.60","-0.01%","2,109.10","2,41,839","57,486.88","43.40","46.58","2,975.00","2,033.00","0.12%","-5.82%","-21.97%","40.90%","36.94%","36.37","2.41%","70.62%","111.07%","51.99","2,131.20","2,321.38","50.71","78.00%","87.50%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,605.80","-1.16%","1,610.50","2,51,397","55,418.53","279.58","35.87","1,752.20","950.00","-4.98%","4.73%","49.26%","92.14%","124.52%","10.57","-","8.99%","6.69%","11.00","1,682.60","1,541.31","38.16","75.00%","87.50%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,516.00","-0.51%","1,528.30","8,00,308","55,122.10","24.78","-2.17","2,020.00","1,451.95","-9.51%","-10.78%","-24.31%","82.31%","160.32%","3.31","0.52%","13.92%","16.69%","60.22","1,672.00","1,694.01","28.63","75.70%","87.50%"
"Coforge","https://scanx.trade/company/coforge-ltd","1,625.00","-4.06%","1,693.70","29,39,035","54,444.29","42.24","32.67","1,994.00","1,194.01","-11.94%","-7.00%","-6.20%","98.07%","210.10%","8.24","0.22%","22.42%","14.67%","114.98","1,792.78","1,719.12","44.63","75.26%","86.32%"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","1,923.70","-0.58%","1,927.00","2,42,638","54,286.97","54.06","17.88","2,284.80","1,275.50","-3.43%","3.83%","27.94%","360.33%","277.94%","5.70","0.13%","3.84%","15.93%","-","1,961.18","1,827.86","38.90","75.73%","87.50%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","496.55","-1.09%","501.00","11,79,233","54,016.11","38.29","9.62","670.33","500.00","-11.24%","-15.87%","-18.20%","-58.48%","137.74%","4.51","0.66%","1.75%","15.86%","25.98","556.68","585.09","26.82","75.00%","87.50%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","997.70","-3.65%","1,033.60","12,90,288","53,861.49","81.94","17.88","1,141.00","501.15","-4.54%","8.37%","70.77%","187.44%","168.27%","11.63","0.12%","4.09%","12.08%","2.75","1,037.78","836.82","43.11","75.20%","80.00%"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","1,427.30","-1.78%","1,451.80","9,12,298","52,319.47","81.34","34.69","2,096.60","907.00","3.95%","-6.99%","7.38%","205.17%","744.66%","12.62","0.32%","10.97%","10.19%","15.77","1,485.43","1,595.13","42.47","70.06%","83.23%"
"Mphasis","https://scanx.trade/company/mphasis-ltd","2,742.00","-2.62%","2,806.00","2,19,243","52,250.97","30.05","32.67","3,078.40","2,044.55","-5.13%","-0.20%","-2.25%","35.43%","66.47%","5.57","2.02%","17.68%","23.19%","82.67","2,831.28","2,720.17","47.22","76.00%","87.50%"
"APL Apollo Tubes","https://scanx.trade/company/apl-apollo-tubes-ltd","1,873.60","-1.70%","1,905.00","2,73,062","52,017.89","50.45","23.12","1,993.70","1,272.70","2.94%","7.12%","17.83%","56.56%","298.70%","11.49","0.30%","21.36%","22.02%","26.38","1,815.23","1,727.30","55.39","76.00%","87.50%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","1,645.00","-2.93%","1,694.70","15,55,646","49,548.44","33.19","-2.17","2,522.00","1,684.10","-19.55%","-28.22%","-32.25%","33.61%","15.92%","2.79","-","7.25%","8.74%","40.29","2,048.96","2,133.68","22.91","73.82%","85.61%"
"Biocon","https://scanx.trade/company/biocon-ltd","363.90","-0.80%","365.00","13,09,496","48,652.11","77.99","17.88","424.95","291.00","-8.69%","-0.11%","-9.38%","48.56%","-19.10%","1.57","0.10%","5.13%","6.26%","13.00","392.05","363.40","35.03","75.63%","87.50%"
"IRCTC","https://scanx.trade/company/irctc-ltd","608.10","-0.82%","614.00","9,72,728","48,648.00","35.77","50.64","831.75","611.20","-9.78%","-15.66%","-23.13%","-5.20%","109.30%","11.52","1.30%","34.40%","44.39%","14.87","676.78","726.71","25.98","76.00%","87.50%"
"PI Industries","https://scanx.trade/company/pi-industries-ltd","3,141.60","-0.37%","3,131.00","2,80,063","47,663.76","31.63","22.12","4,330.00","2,951.10","-3.32%","-11.11%","-12.67%","-2.98%","41.60%","4.42","0.51%","19.26%","20.62%","115.17","3,348.46","3,682.30","35.60","76.00%","87.50%"
"360 One WAM","https://scanx.trade/company/360-one-wam-ltd","1,104.30","-2.24%","1,124.20","3,37,848","44,730.52","38.84","-1.73","1,273.80","790.50","-3.04%","-6.68%","-9.22%","129.79%","315.68%","4.89","0.52%","23.31%","14.83%","25.49","1,144.86","1,083.23","43.70","72.72%","85.68%"
"Tube Investment","https://scanx.trade/company/tube-invest-of-india-ltd","2,282.90","-2.00%","2,317.90","2,77,262","44,176.14","43.21","23.12","3,485.00","2,320.50","-13.36%","-26.98%","-33.61%","-13.35%","168.07%","6.00","0.15%","17.60%","15.90%","34.13","2,691.64","2,913.00","25.15","74.32%","86.91%"
"Voltas","https://scanx.trade/company/voltas-ltd","1,295.20","-2.20%","1,320.00","4,37,913","42,856.19","81.47","67.78","1,600.00","1,135.00","-5.84%","-10.35%","-16.24%","66.04%","41.92%","6.89","0.53%","4.24%","17.53%","13.81","1,385.03","1,346.46","34.71","76.00%","87.50%"
"Supreme Industries","https://scanx.trade/company/supreme-industries-ltd","3,299.10","-2.18%","3,358.60","1,62,264","41,907.43","50.51","27.74","4,739.00","3,095.00","-2.05%","-21.32%","-17.97%","39.73%","94.80%","7.49","1.01%","20.94%","21.37%","88.76","3,458.91","3,940.12","41.60","74.61%","87.05%"
"Dalmia Bharat","https://scanx.trade/company/dalmia-bharat-ltd","2,210.30","0.86%","2,193.00","3,21,917","41,457.53","36.19","1,147.49","2,496.30","1,601.00","9.68%","0.66%","26.16%","20.18%","88.58%","2.33","0.41%","5.17%","4.86%","49.19","2,059.42","2,129.32","63.29","75.00%","80.00%"
"Kalyan Jewellers","https://scanx.trade/company/kalyan-jewellers-ltd","399.40","-11.53%","452.00","2,30,75,683","41,244.55","50.12","-11.85","617.70","399.40","-17.62%","-19.30%","-24.77%","234.79%","431.12%","8.73","0.33%","14.24%","20.89%","6.12","489.73","519.11","32.20","70.00%","84.15%"
"Petronet LNG","https://scanx.trade/company/petronet-lng-ltd","273.40","-0.13%","273.25","16,40,113","41,010.00","11.19","35.87","331.85","263.50","-0.16%","-2.01%","-14.88%","22.63%","9.58%","1.95","3.65%","20.26%","23.63%","26.26","277.53","288.98","40.69","76.00%","80.00%"
"HUDCO","https://scanx.trade/company/housing-urban-development-corporation-ltd","204.38","-0.69%","206.00","24,38,829","40,914.83","14.70","-180.99","253.73","158.85","-3.26%","-10.68%","-12.85%","307.94%","364.50%","2.28","2.02%","11.02%","8.50%","11.13","223.45","224.46","34.65","69.35%","83.27%"
"KEI Industries","https://scanx.trade/company/kei-industries-ltd","3,955.00","-2.82%","4,063.00","2,24,474","37,810.04","49.15","19.95","4,587.30","2,424.00","-7.69%","-4.60%","-4.66%","160.69%","692.82%","6.28","0.10%","18.44%","16.86%","67.58","4,230.03","3,843.25","35.26","70.00%","80.00%"
"Container Corporation of India","https://scanx.trade/company/container-corporation-of-india-ltd","493.90","-0.79%","498.00","7,01,712","37,616.31","28.89","35.87","652.04","481.00","-1.49%","-7.47%","-20.26%","-12.51%","41.36%","2.97","1.85%","10.36%","13.49%","20.90","514.14","554.17","35.67","76.00%","87.50%"
"Page Industries","https://scanx.trade/company/page-industries-ltd","33,220.00","0.76%","32,970.00","18,825","37,053.17","47.97","23.63","50,590.00","31,740.00","-7.06%","-20.37%","-28.31%","-17.44%","17.10%","26.02","2.74%","35.64%","62.78%","516.64","36,963.40","42,945.58","21.32","78.00%","87.50%"
"Astral","https://scanx.trade/company/astral-poly-technik-ltd","1,368.00","-1.73%","1,388.00","2,42,829","36,751.34","74.05","27.74","1,593.50","1,232.30","-3.91%","-5.54%","-7.78%","-8.58%","43.39%","9.90","0.27%","16.69%","19.01%","20.35","1,448.68","1,431.41","41.00","76.00%","87.50%"
"IREDA","https://scanx.trade/company/ireda-ltd","128.40","-1.19%","129.94","77,71,824","36,070.53","19.38","-180.99","209.80","129.11","-3.60%","-16.22%","-38.24%","-89.73%","-89.73%","2.82","-","11.56%","8.35%","1.29","140.22","154.18","36.85","70.02%","84.22%"
"Blue Star","https://scanx.trade/company/blue-star-ltd","1,709.00","-2.23%","1,733.00","2,85,440","35,139.57","65.73","67.78","2,269.80","1,521.00","-4.06%","-13.31%","-11.51%","180.97%","343.78%","11.54","0.52%","15.86%","25.16%","24.34","1,778.66","1,800.42","42.27","74.31%","86.99%"
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","5,372.00","-0.28%","5,367.00","2,28,531","33,465.00","57.83","34.22","6,735.00","4,700.00","-0.77%","-0.47%","-13.35%","-15.78%","92.72%","12.42","1.39%","36.00%","52.73%","126.48","5,294.17","5,669.02","48.35","76.00%","87.50%"
"Jubilant FoodWorks","https://scanx.trade/company/jubilant-foodworks-ltd","504.50","-0.45%","505.00","9,33,422","33,289.19","87.62","228.00","760.50","503.80","-10.50%","-14.60%","-27.36%","-1.08%","-10.26%","15.42","0.24%","17.86%","12.94%","4.12","569.87","635.26","24.89","76.00%","87.50%"
"Premier Energies","https://scanx.trade/company/premier-energies-ltd","721.05","-1.58%","732.60","8,81,335","32,663.16","27.78","26.31","1,212.00","709.05","-18.58%","-31.46%","-39.61%","-14.15%","-14.15%","9.60","0.07%","-","34.93%","-","894.65","994.00","27.34","60.00%","84.66%"
"KPIT Technologies","https://scanx.trade/company/kpit-technologies-ltd","1,104.70","-2.35%","1,129.80","7,16,260","30,284.67","40.10","34.22","1,479.00","1,020.60","-9.79%","-3.65%","-17.20%","58.55%","681.54%","9.49","0.75%","27.67%","35.48%","24.17","1,200.92","1,233.21","38.66","73.78%","85.74%"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","518.70","-0.77%","522.80","11,95,719","28,531.77","5.21","6.97","646.50","483.70","-2.58%","-9.48%","-8.98%","33.17%","20.24%","0.75","1.91%","15.12%","9.65%","86.33","542.48","576.22","40.28","76.00%","87.50%"
"Delhivery","https://scanx.trade/company/delhivery-ltd","378.35","-1.69%","383.65","10,65,116","28,304.20","207.97","35.87","490.00","236.53","-6.80%","-20.33%","9.60%","23.56%","-29.46%","3.02","-","-2.72%","2.66%","-","412.06","403.56","35.26","75.00%","70.00%"
"CDSL","https://scanx.trade/company/central-depository-services-ltd","1,335.50","-0.41%","1,337.60","13,40,064","27,911.95","59.31","35.87","1,828.90","1,047.45","-10.94%","-16.52%","-16.45%","153.82%","414.29%","16.08","0.93%","27.84%","37.66%","45.91","1,521.59","1,530.39","27.39","72.64%","80.00%"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","324.65","-1.77%","330.00","16,36,697","27,595.25","35.35","173.46","431.00","328.00","-10.63%","-18.60%","-17.09%","74.08%","62.12%","1.91","0.61%","6.84%","8.57%","10.29","366.86","382.68","23.21","76.00%","87.50%"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","442.35","-0.81%","443.05","4,60,848","27,501.83","45.58","173.46","579.95","380.00","-10.96%","-4.09%","-21.89%","8.43%","22.47%","4.84","0.72%","18.49%","13.84%","9.41","485.21","472.98","30.11","75.15%","87.43%"
"NBCC","https://scanx.trade/company/nbcc-ltd","97.15","-0.64%","97.78","92,35,024","26,230.50","42.98","35.87","130.70","70.80","-14.56%","-14.39%","-1.63%","283.54%","349.14%","9.91","0.68%","13.09%","26.58%","3.11","113.42","109.99","24.03","69.79%","80.00%"
"Tata Technologies","https://scanx.trade/company/tata-technologies-ltd","640.80","-1.03%","646.00","7,01,866","26,000.05","49.50","34.22","841.30","597.00","-2.05%","-5.88%","-21.13%","-51.20%","-51.20%","7.37","1.81%","21.09%","23.64%","16.02","663.40","691.75","45.97","75.00%","87.50%"
"IIFL Finance","https://scanx.trade/company/iifl-finance-ltd","605.90","-3.92%","626.00","16,04,508","25,764.56","26.10","-1.73","675.00","279.80","7.31%","21.25%","50.72%","26.96%","439.83%","2.06","-","15.76%","8.01%","38.34","586.80","481.96","56.18","71.28%","65.00%"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","300.05","-0.60%","303.50","32,05,827","25,397.27","60.10","-1.73","321.60","168.83","2.53%","4.22%","54.90%","159.90%","78.12%","2.01","1.33%","18.98%","10.79%","26.55","291.22","268.75","50.24","73.96%","80.00%"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","1,389.80","-2.22%","1,414.00","2,18,033","25,267.42","25.22","-1.73","1,701.70","947.09","-3.07%","-1.00%","12.55%","-46.80%","-46.80%","6.85","2.01%","21.55%","23.65%","203.79","1,453.90","1,389.39","44.66","50.00%","75.00%"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","935.25","-1.40%","949.90","3,82,000","24,364.06","11.52","6.97","1,141.90","746.70","0.80%","7.61%","2.50%","109.93%","203.18%","1.38","0.53%","10.07%","9.27%","61.35","928.17","947.12","47.99","73.81%","80.00%"
"Syngene International","https://scanx.trade/company/syngene-international-ltd","597.85","-1.34%","606.00","3,02,523","24,089.73","52.11","35.87","862.35","599.55","-8.61%","-7.15%","-27.24%","-1.21%","-2.28%","5.15","0.21%","11.98%","13.20%","11.85","643.44","652.76","29.63","76.00%","80.00%"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","3,501.70","0.58%","3,460.00","9,34,544","23,473.52","61.62","24.43","7,705.00","3,466.50","-16.33%","-48.97%","-47.05%","342.92%","407.53%","4.99","-","9.91%","15.98%","32.73","4,681.57","5,811.25","24.31","69.50%","75.00%"
"Angel One","https://scanx.trade/company/angel-broking-ltd","2,540.70","-3.61%","2,609.00","6,60,580","23,079.55","31.07","-1.73","3,285.00","1,941.00","0.90%","1.64%","-1.81%","96.11%","611.98%","4.11","1.81%","37.04%","33.08%","132.93","2,586.04","2,572.08","57.68","69.05%","80.00%"
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","139.71","0.23%","139.00","79,46,513","22,506.88","18.29","8.47","192.48","128.16","-6.92%","-16.34%","-8.35%","-41.09%","-61.17%","0.91","1.08%","10.32%","7.35%","15.97","147.53","162.87","34.93","59.47%","80.00%"
"Piramal Pharma","https://scanx.trade/company/piramal-pharma-ltd","156.01","-1.14%","157.80","20,10,242","20,737.60","-876.39","17.88","251.95","157.20","-8.92%","-20.22%","-35.55%","41.51%","-15.92%","2.60","0.09%","0.23%","7.02%","0.30","178.59","196.95","27.75","72.62%","80.00%"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","5,869.00","-2.72%","6,041.00","1,24,969","20,642.47","92.50","24.43","8,626.00","5,235.00","-12.15%","-28.82%","-16.75%","205.88%","131.94%","5.82","-","6.59%","14.95%","47.37","6,746.75","7,126.58","31.39","69.46%","80.00%"
"RBL Bank","https://scanx.trade/company/rbl-bank-ltd","298.45","1.62%","293.00","57,78,282","18,413.69","25.12","8.47","332.00","146.10","-0.60%","-8.63%","88.68%","75.77%","17.62%","1.12","0.34%","8.49%","5.64%","21.30","309.25","262.09","40.09","57.29%","80.00%"
"Inox Wind","https://scanx.trade/company/inox-wind-ltd","105.89","-2.03%","107.54","55,08,572","18,300.31","36.02","1.88","198.13","107.01","-16.54%","-27.86%","-36.41%","298.83%","540.98%","2.86","-","-29.66%","12.30%","0.66","128.74","151.58","26.24","67.59%","75.00%"
"KFin Technologies","https://scanx.trade/company/kfin-technologies-ltd","999.90","-0.78%","1,004.10","4,86,724","17,238.38","50.31","35.87","1,388.50","784.15","-7.25%","-10.77%","-14.80%","198.92%","174.81%","11.89","0.74%","21.56%","28.63%","15.80","1,069.63","1,122.17","32.54","68.53%","80.00%"
"CAMS","https://scanx.trade/company/cams-ltd","695.80","-2.01%","706.50","8,44,445","17,231.53","38.37","35.87","904.00","606.21","-8.22%","-9.12%","-21.48%","50.03%","93.86%","14.47","2.04%","38.33%","49.51%","78.32","758.53","779.17","37.19","74.00%","80.00%"
"PG Electroplast","https://scanx.trade/company/pg-electroplast-ltd","534.95","-2.98%","549.50","13,82,092","15,244.16","61.83","24.43","1,008.00","465.00","-8.08%","-8.40%","-37.58%","367.00%","3,659.31%","5.42","0.04%","19.57%","14.42%","7.08","576.66","673.04","37.37","66.60%","75.00%"
"Crompton Greaves","https://scanx.trade/company/crompton-greaves-consumer-electricals-ltd","231.25","-1.01%","232.90","20,61,598","14,890.53","31.17","1.88","373.00","232.05","-9.53%","-19.44%","-36.17%","-28.46%","-43.03%","4.43","1.28%","12.81%","19.23%","7.36","259.68","309.84","28.03","76.00%","80.00%"
"Indian Energy Exchange","https://scanx.trade/company/indian-energy-exchange-ltd","130.59","0.23%","130.30","98,69,566","11,644.62","24.81","35.87","215.40","129.73","-7.64%","-5.57%","-24.51%","-3.77%","59.55%","9.31","2.30%","36.08%","47.66%","4.17","140.46","161.06","38.61","75.00%","65.00%"
"Sammaan Capital","https://scanx.trade/company/indiabulls-housing-finance-ltd","138.69","0.56%","138.00","58,80,359","11,488.57","9.02","6.97","192.95","97.61","-4.38%","-19.36%","-12.02%","17.60%","-31.08%","0.51","1.45%","6.50%","3.96%","25.15","151.52","138.55","36.49","50.00%","75.00%"